12/4/14,4,0:00,2.11,8.43,Cleveland; OH,AT&T,0,46.656,Mbits/s,Mbits/s
12/4/14,4,0:01,2.06,5.67,Cleveland; OH,AT&T,0,48.677,Mbits/s,Mbits/s
12/4/14,4,0:02,2.02,1.6,Cleveland; OH,AT&T,0,58.019,Mbits/s,Mbits/s
12/4/14,4,0:03,1.78,7.64,Cleveland; OH,AT&T,0,42.016,Mbits/s,Mbits/s
12/4/14,4,0:05,1.76,7.55,Cleveland; OH,AT&T,0,44.437,Mbits/s,Mbits/s
12/4/14,4,0:06,1.91,2.75,Detroit; MI,T-Mobile,0,35.395,Mbits/s,Mbits/s
12/4/14,4,0:06,1.54,4.99,Detroit; MI,Comcast,0,38.411,Mbits/s,Mbits/s
12/4/14,4,0:07,2.27,5.48,Detroit; MI,T-Mobile,0,36.868,Mbits/s,Mbits/s
12/4/14,4,0:08,1.33,5.78,Detroit; MI,Comcast,0,44.574,Mbits/s,Mbits/s
12/4/14,4,0:10,2.19,1.23,Detroit; MI,AT&T,0,49.814,Mbits/s,Mbits/s
12/4/14,4,0:11,1.88,7.28,Toledo; OH,Amplex,0,58.727,Mbits/s,Mbits/s
12/4/14,4,0:11,2.8,7.84,Cleveland; OH,AT&T,0,43.465,Mbits/s,Mbits/s
12/4/14,4,0:13,2.47,6.07,Detroit; MI,T-Mobile,0,59.204,Mbits/s,Mbits/s
12/4/14,4,0:13,2.07,1.38,Detroit; MI,Comcast,0,52.366,Mbits/s,Mbits/s
12/4/14,4,0:15,2.51,3.25,Detroit; MI,T-Mobile,0,55.75,Mbits/s,Mbits/s
12/4/14,4,0:15,2.13,6.17,Detroit; MI,T-Mobile,0,33.34,Mbits/s,Mbits/s
12/4/14,4,0:16,2.44,2.65,Cleveland; OH,AT&T,0,40.425,Mbits/s,Mbits/s
12/4/14,4,0:18,2.7,6.53,Cleveland; OH,AT&T,0,48.11,Mbits/s,Mbits/s
12/4/14,4,0:19,2.13,9.6,Cleveland; OH,AT&T,0,39.308,Mbits/s,Mbits/s
12/4/14,4,0:19,1.6,2.24,Detroit; MI,T-Mobile,0,53.716,Mbits/s,Mbits/s
12/4/14,4,0:21,3.61,7.22,Detroit; MI,AT&T,0,42.04,Mbits/s,Mbits/s
12/4/14,4,0:21,2.32,6.19,Detroit; MI,Comcast,0,54.982,Mbits/s,Mbits/s
12/4/14,4,0:23,2.54,2.89,Cleveland; OH,AT&T,0,115.819,Mbits/s,Mbits/s
12/4/14,4,0:24,1.41,3.31,Detroit; MI,Comcast,0,39.701,Mbits/s,Mbits/s
12/4/14,4,0:25,1.2,2.42,Detroit; MI,T-Mobile,0,76.508,Mbits/s,Mbits/s
12/4/14,4,0:26,2.08,6.06,Detroit; MI,Comcast,0,39.067,Mbits/s,Mbits/s
12/4/14,4,0:28,2.63,6.99,Detroit; MI,AT&T,0,41.38,Mbits/s,Mbits/s
12/4/14,4,0:29,1.34,2.67,Detroit; MI,Comcast,0,40.209,Mbits/s,Mbits/s
12/4/14,4,0:30,1.91,5.5,Detroit; MI,Comcast,0,40.031,Mbits/s,Mbits/s
12/4/14,4,0:31,3.1,6.82,Cleveland; OH,AT&T,0,47.956,Mbits/s,Mbits/s
12/4/14,4,0:32,2.49,6.56,Cleveland; OH,AT&T,0,47.522,Mbits/s,Mbits/s
12/4/14,4,0:33,1.54,2.99,Detroit; MI,T-Mobile,0,36.144,Mbits/s,Mbits/s
12/4/14,4,0:34,1.33,1.24,Detroit; MI,AT&T,0,52.117,Mbits/s,Mbits/s
12/4/14,4,0:35,1.73,7.04,Cleveland; OH,AT&T,0,42.663,Mbits/s,Mbits/s
12/4/14,4,0:36,2.45,4.33,Detroit; MI,T-Mobile,0,45.686,Mbits/s,Mbits/s
12/4/14,4,0:37,2.76,3.62,Cleveland; OH,AT&T,0,43.206,Mbits/s,Mbits/s
12/4/14,4,0:38,3.01,2.97,Detroit; MI,T-Mobile,0,42.075,Mbits/s,Mbits/s
12/4/14,4,0:39,4.04,5.84,Cleveland; OH,AT&T,0,47.719,Mbits/s,Mbits/s
12/4/14,4,0:40,3.24,9.8,Cleveland; OH,AT&T,0,73.415,Mbits/s,Mbits/s
12/4/14,4,0:41,3.08,4.25,Detroit; MI,T-Mobile,0,42.251,Mbits/s,Mbits/s
12/4/14,4,0:42,3.59,7.31,Detroit; MI,AT&T,0,45.42,Mbits/s,Mbits/s
12/4/14,4,0:43,3.61,5.5,Detroit; MI,AT&T,0,58.961,Mbits/s,Mbits/s
12/4/14,4,0:44,2.74,4.19,Detroit; MI,T-Mobile,0,40,Mbits/s,Mbits/s
12/4/14,4,11:04,18.23,13.74,Detroit; MI,T-Mobile,0,28.311,Mbits/s,Mbits/s
12/4/14,4,11:05,26.08,16.85,Detroit; MI,T-Mobile,0,28.487,Mbits/s,Mbits/s
12/4/14,4,11:05,15.57,18.7,Detroit; MI,Comcast,0,35.644,Mbits/s,Mbits/s
